Campaign,Ad group,Keyword,Match type,Max CPC,Status,Final URL,Campaign budget,Campaign status
VCX - Private - Immigration,USCIS packet review,immigration packet review,Exact,3.50,Enabled,https://vitacorexllc.com/private-intake-immigration.html,20.00,Paused
VCX - Private - Immigration,USCIS packet review,uscis packet help,Exact,3.50,Enabled,,,
VCX - Private - Immigration,USCIS packet review,uscis documentation help,Exact,3.50,Enabled,,,
VCX - Private - Immigration,USCIS packet review,immigration paperwork help,Exact,3.50,Enabled,,,
VCX - Private - Immigration,USCIS packet review,immigration packet review,Phrase,3.00,Enabled,,,
VCX - Private - Immigration,USCIS packet review,uscis packet review,Phrase,3.00,Enabled,,,
VCX - Private - Immigration,USCIS packet review,help with uscis packet,Phrase,3.00,Enabled,,,
VCX - Private - Immigration,USCIS packet review,immigration document review,Phrase,3.00,Enabled,,,
VCX - Private - Immigration,USCIS packet review,immigration paperwork help,Phrase,3.00,Enabled,,,
VCX - Private - Immigration,USCIS packet review,organize immigration documents,Phrase,3.00,Enabled,,,
VCX - Private - Immigration,USCIS packet review,immigration document organizer,Phrase,3.00,Enabled,,,
VCX - Private - Immigration,USCIS packet review,bilingual immigration paperwork,Phrase,3.00,Enabled,,,
VCX - Private - Immigration,I-130 family petition,i-130 packet review,Exact,4.00,Enabled,,,
VCX - Private - Immigration,I-130 family petition,i-130 help,Exact,4.00,Enabled,,,
VCX - Private - Immigration,I-130 family petition,family petition help,Exact,4.00,Enabled,,,
VCX - Private - Immigration,I-130 family petition,i-130 packet review,Phrase,3.50,Enabled,,,
VCX - Private - Immigration,I-130 family petition,i-130 paperwork help,Phrase,3.50,Enabled,,,
VCX - Private - Immigration,I-130 family petition,i-130 documentation,Phrase,3.50,Enabled,,,
VCX - Private - Immigration,I-130 family petition,family petition packet,Phrase,3.50,Enabled,,,
VCX - Private - Immigration,I-130 family petition,help with i-130,Phrase,3.50,Enabled,,,
VCX - Private - Immigration,I-130 family petition,i-130 supporting documents,Phrase,3.50,Enabled,,,
VCX - Private - Immigration,I-130 family petition,i-130 evidence organization,Phrase,3.50,Enabled,,,
VCX - Private - Immigration,I-485 adjustment status,i-485 packet review,Exact,4.50,Enabled,,,
VCX - Private - Immigration,I-485 adjustment status,green card packet help,Exact,4.50,Enabled,,,
VCX - Private - Immigration,I-485 adjustment status,adjustment of status help,Exact,4.50,Enabled,,,
VCX - Private - Immigration,I-485 adjustment status,i-485 packet help,Phrase,4.00,Enabled,,,
VCX - Private - Immigration,I-485 adjustment status,i-485 supporting documents,Phrase,4.00,Enabled,,,
VCX - Private - Immigration,I-485 adjustment status,green card paperwork review,Phrase,4.00,Enabled,,,
VCX - Private - Immigration,I-485 adjustment status,adjustment of status documentation,Phrase,4.00,Enabled,,,
VCX - Private - Immigration,I-485 adjustment status,green card packet organization,Phrase,4.00,Enabled,,,
VCX - Private - Immigration,I-485 adjustment status,i-485 affidavit help,Phrase,4.00,Enabled,,,
VCX - Private - Immigration,I-485 adjustment status,medical exam for i-485,Phrase,4.00,Enabled,,,
VCX - Private - Immigration,N-400 naturalization,n-400 packet review,Exact,4.00,Enabled,,,
VCX - Private - Immigration,N-400 naturalization,naturalization packet help,Exact,4.00,Enabled,,,
VCX - Private - Immigration,N-400 naturalization,citizenship application help,Exact,4.00,Enabled,,,
VCX - Private - Immigration,N-400 naturalization,n-400 packet review,Phrase,3.50,Enabled,,,
VCX - Private - Immigration,N-400 naturalization,n-400 documentation,Phrase,3.50,Enabled,,,
VCX - Private - Immigration,N-400 naturalization,naturalization packet help,Phrase,3.50,Enabled,,,
VCX - Private - Immigration,N-400 naturalization,citizenship application packet,Phrase,3.50,Enabled,,,
VCX - Private - Immigration,N-400 naturalization,n-400 evidence,Phrase,3.50,Enabled,,,
VCX - Private - Immigration,Work visa documentation,h-1b documentation help,Exact,5.00,Enabled,,,
VCX - Private - Immigration,Work visa documentation,o-1 packet review,Exact,5.00,Enabled,,,
VCX - Private - Immigration,Work visa documentation,l-1 visa paperwork,Exact,5.00,Enabled,,,
VCX - Private - Immigration,Work visa documentation,h-1b supporting documents,Phrase,4.50,Enabled,,,
VCX - Private - Immigration,Work visa documentation,o-1 evidence packet,Phrase,4.50,Enabled,,,
VCX - Private - Immigration,Work visa documentation,l-1 documentation help,Phrase,4.50,Enabled,,,
VCX - Private - Immigration,Work visa documentation,work visa packet review,Phrase,4.50,Enabled,,,
VCX - Private - Immigration,Work visa documentation,employment-based visa documentation,Phrase,4.50,Enabled,,,
VCX - Private - Immigration,Certified translations,certified immigration translations,Exact,3.00,Enabled,,,
VCX - Private - Immigration,Certified translations,uscis certified translation,Exact,3.00,Enabled,,,
VCX - Private - Immigration,Certified translations,certified translation for uscis,Phrase,2.50,Enabled,,,
VCX - Private - Immigration,Certified translations,certified translation i-130,Phrase,2.50,Enabled,,,
VCX - Private - Immigration,Certified translations,russian english translation uscis,Phrase,2.50,Enabled,,,
VCX - Private - Immigration,Certified translations,spanish english translation uscis,Phrase,2.50,Enabled,,,
VCX - Private - Immigration,Certified translations,immigration document translation,Phrase,2.50,Enabled,,,
VCX - Private - Business Setup,LLC formation generic,llc formation service,Exact,5.00,Enabled,https://vitacorexllc.com/private-intake-business.html,20.00,Paused
VCX - Private - Business Setup,LLC formation generic,form an llc,Exact,5.00,Enabled,,,
VCX - Private - Business Setup,LLC formation generic,open an llc,Exact,5.00,Enabled,,,
VCX - Private - Business Setup,LLC formation generic,start an llc online,Exact,5.00,Enabled,,,
VCX - Private - Business Setup,LLC formation generic,llc formation help,Phrase,4.50,Enabled,,,
VCX - Private - Business Setup,LLC formation generic,llc formation service,Phrase,4.50,Enabled,,,
VCX - Private - Business Setup,LLC formation generic,start an llc in florida,Phrase,4.50,Enabled,,,
VCX - Private - Business Setup,LLC formation generic,start an llc in delaware,Phrase,4.50,Enabled,,,
VCX - Private - Business Setup,LLC formation generic,start an llc in wyoming,Phrase,4.50,Enabled,,,
VCX - Private - Business Setup,LLC formation generic,how to form an llc,Phrase,4.00,Enabled,,,
VCX - Private - Business Setup,LLC formation generic,register an llc for me,Phrase,4.50,Enabled,,,
VCX - Private - Business Setup,LLC formation generic,llc formation bilingual,Phrase,4.00,Enabled,,,
VCX - Private - Business Setup,Non-resident LLC,llc for non-us residents,Exact,6.00,Enabled,,,
VCX - Private - Business Setup,Non-resident LLC,form us llc from abroad,Exact,6.00,Enabled,,,
